!x	fA	fB	fC	fD	A	B	C	D
0.537345418	0.015171924	0.285674341	0.642987958	0.236536552	0.01514	0.28487	0.64364	0.23657
0.546086623	0.015192696	0.283624817	0.644262582	0.236655202	0.01515	0.28285	0.64492	0.23668
0.554863698	0.015212279	0.281554063	0.645552796	0.236775229	0.01517	0.28082	0.64621	0.23679
0.563679496	0.015230621	0.279461345	0.646859215	0.236896647	0.01519	0.27877	0.64751	0.2369
0.572537106	0.015247674	0.277345891	0.648182476	0.237019471	0.0152	0.2767	0.64882	0.23701
0.581439878	0.015263383	0.275206876	0.649523244	0.237143716	0.01522	0.27461	0.65014	0.23712
0.590391455	0.015277698	0.273043424	0.650882206	0.237269399	0.01523	0.27251	0.65148	0.23724
0.599395802	0.015290562	0.270854597	0.652260082	0.237396541	0.01524	0.27038	0.65283	0.23735
0.60845725	0.015301922	0.268639392	0.653657627	0.237525163	0.01525	0.26824	0.65419	0.23747
0.617580535	0.015311722	0.266396731	0.655075632	0.237655288	0.01526	0.26607	0.65557	0.23759
0.626770857	0.015319903	0.26412545	0.65651493	0.237786945	0.01527	0.26388	0.65696	0.23771
0.636033937	0.015326408	0.26182429	0.657976407	0.237920162	0.01528	0.26167	0.65837	0.23783
0.645376092	0.015331178	0.259491882	0.659461002	0.238054977	0.01528	0.25943	0.65979	0.23795
0.654804326	0.015334151	0.257126734	0.660969722	0.23819143	0.01529	0.25716	0.66124	0.23807
0.664326428	0.015335264	0.254727204	0.66250365	0.238329566	0.01529	0.25487	0.6627	0.2382
0.673951106	0.015334453	0.252291485	0.664063961	0.238469441	0.01529	0.25254	0.66418	0.23833
0.683688134	0.015331652	0.249817571	0.665651935	0.238611118	0.0153	0.25018	0.66568	0.23846
0.69354855	0.015326789	0.247303221	0.667268984	0.238754671	0.01529	0.24779	0.66721	0.23859
0.703544882	0.015319793	0.244745918	0.668916672	0.238900186	0.01529	0.24535	0.66876	0.23872
0.713691454	0.015310586	0.242142809	0.670596755	0.239047768	0.01529	0.24287	0.67034	0.23886
0.724004754	0.015299084	0.239490633	0.672311221	0.239197538	0.01528	0.24035	0.67195	0.239
0.73450392	0.015285198	0.236785634	0.674062348	0.239349645	0.01528	0.23778	0.67359	0.23914
0.745211374	0.015268827	0.23402343	0.675852776	0.239504266	0.01527	0.23515	0.67527	0.23929
0.756153662	0.015249859	0.231198861	0.677685613	0.239661619	0.01526	0.23246	0.67699	0.23943
0.767362593	0.015228168	0.228305761	0.679564565	0.239821969	0.01524	0.2297	0.67875	0.23959
0.778876816	0.015203602	0.225336655	0.681494129	0.239985649	0.01523	0.22685	0.68057	0.23975
0.79074407	0.015175983	0.222282322	0.683479865	0.240153081	0.01521	0.22392	0.68245	0.23991
0.803024474	0.015145089	0.219131155	0.685528797	0.240324803	0.01519	0.22088	0.68439	0.24008
0.815795523	0.015110638	0.215868183	0.68765002	0.240501528	0.01516	0.21772	0.68641	0.24026
0.829160031	0.015072261	0.212473522	0.689855674	0.240684214	0.01513	0.21441	0.68854	0.24044
0.84325943	0.01502945	0.208919772	0.692162577	0.240874201	0.0151	0.21091	0.69078	0.24064
0.858297669	0.014981477	0.205167325	0.694595165	0.241073448	0.01506	0.20717	0.69317	0.24085
