0        2070    0
0        2070    0
0        2070    0
0        2070    0
1        2069    0
1        2069    0
1        2069    0
1        2069    0
31       2039    0
61       2009    0
110      1960    0
155      1915    0
165      1905    0
179      1891    0
191      1879    0
211      1859    0
220      1850    0
224      1846    0
230      1840    0
236      1834    0
235      1835    0
238      1832    0
241      1829    0
246      1824    0
247      1823    0
248      1822    0
249      1821    0
249      1821    0
249      1821    0
