,moment,+1000kN,+1500kN,+2000kN,+2500kN,-1000kN,-1500kN,-2000kN,-2500kN
61,305.5,-596.14083,-266.30082,-159.84682,-139.36311,-22.037093,116.73313,80.93322,52.172149
62,310.5,-646.64656,-278.1399,-163.46106,-141.48849,-49.086631,119.45966,83.038791,53.98266
63,315.5,-699.68299,-291.11601,-167.92508,-143.63371,-78.031092,122.03302,85.117438,55.790482
64,320.5,-754.35621,-305.34823,-172.73203,-145.81935,-108.53937,124.27503,87.543872,57.594781
65,325.5,-809.96606,-322.04283,-177.78855,-148.06919,-144.27562,125.9094,90.202052,59.393654
66,330.5,-869.38194,-341.35976,-183.38081,-150.40798,-185.50244,126.67882,92.844151,61.180889
67,335.5,-928.72718,-363.6873,-189.27175,-152.83352,-235.04753,126.42868,95.471836,62.948568
68,340.5,-988.9029,-392.92638,-196.01129,-155.24264,-298.77273,124.6263,98.094435,64.696173
69,345.5,-1053.1407,-427.14942,-202.91576,-157.62939,-373.97692,121.321,100.72365,66.421535
70,350.5,-1127.6452,-468.46556,-210.06059,-160.05949,-455.71724,116.75908,103.47994,68.127069
71,355.5,-1191.5437,-515.29601,-217.24937,-162.55913,-540.30415,110.29997,106.2057,69.810938
72,360.5,-1254.8432,-568.32641,-224.37252,-165.17505,-617.05231,101.00666,108.90269,71.471348
73,365.5,-1338.3504,-626.54223,-231.85549,-167.85551,-698.47314,89.915122,111.55719,73.104006
74,370.5,-1410.8399,-688.87405,-239.26684,-170.69429,-775.9367,77.419757,114.11768,74.682457
75,375.5,-1501.4973,-753.37673,-246.65763,-173.64606,-838.86265,63.65621,116.57939,76.226868
76,380.5,-1626.4828,-818.05511,-254.13516,-176.62773,-883.51949,48.434876,118.95541,77.872031
77,385.5,-1781.044,-881.47778,-261.78512,-180.26675,-910.8069,31.660831,121.26581,79.532084
78,390.5,-1962.4324,-942.48744,-269.64541,-184.32377,-923.98826,13.020026,123.47754,81.317301
79,395.5,-2176.7415,-1000.8395,-277.60605,-188.94879,-928.98006,-7.29734,125.64583,83.270252
80,400.5,-2462.7103,-1056.8923,-285.58678,-194.27418,-931.43038,-30.287963,127.96573,85.347586
81,405.5,-2759.2668,-1111.4135,-293.47398,-199.77603,-936.36872,-57.493449,130.18908,87.648424
82,410.5,-3027.2609,-1165.7548,-301.68821,-205.62419,-957.42582,-90.530606,132.36699,89.94381
83,415.5,-3308.5452,-1223.394,-310.08001,-211.53323,-976.5307,-129.89272,134.45255,92.229095
84,420.5,-3605.8676,-1288.0344,-318.70045,-217.49464,-985.94805,-175.6081,136.25546,94.498249
