,0,1,2,3,4,5
0,9.7975447e-14,126.43143,121.00265,-1.9110061e-13,126.41667,121.03064
1,5.4803384e-14,89.230308,171.74933,-2.5146552e-14,89.208306,171.78439
2,3.230749e-14,60.087052,215.04529,-1.5210055e-14,60.0682,215.08573
3,-1.8041124e-14,36.391241,251.50439,-2.6423308e-14,36.374436,251.54855
4,-1.9267921e-13,-321.46535,124.33,-5.2513549e-14,-321.44904,124.35933
5,-2.4563684e-15,-174.47441,174.63361,-3.1058489e-14,-174.45509,174.66978
6,-6.8389738e-14,-132.22063,217.99668,-3.688716e-14,-132.20414,218.03806
7,-1.298267e-14,-118.23995,254.06541,-8.5279006e-15,-118.22622,254.11039
